id_estado,fase_doenca,subtipo,descricao,ids_linhas_guia
diag_estadiamento,Diagnóstico,Geral,"Paciente recém‑diagnosticada, aguardando definição de estadiamento e subtipo","Linhas de 'Diagnóstico/Estadiamento' (exames, biópsia, IHQ, estadiamento clínico)"
neoadj_candidata_tnbc,Pré‑neoadjuvância,TNBC,"TNBC estádio II/III, indicação de neoadjuvância","Neoadjuvância, TNBC, Indicação (KEYNOTE‑522 para >2cm/N+; taxano+carbo para 1‑2cm N0)"
neoadj_candidata_her2,Pré‑neoadjuvância,HER2+,"HER2+ >2cm ou localmente avançado, neoadjuvância preferencial","Neoadjuvância, HER2+, 1ª linha (TCHP ou alternativas)"
neoadj_candidata_rhpos,Pré‑neoadjuvância,RH+/HER2-,"RH+/HER2- com axila positiva ou localmente avançado","Neoadjuvância, RH+/HER2-, Indicação"
pos_neoadj_tnbc_pcr,Pós‑neoadjuvância,TNBC,"TNBC após neoadjuvância com resposta patológica completa","Adjuvância, TNBC, Pós‑neoadj (continuar pembro se usado; observação)"
pos_neoadj_tnbc_residual,Pós‑neoadjuvância,TNBC,"TNBC com doença residual pós‑neoadjuvância","Adjuvância, TNBC, Pós‑neoadj (capecitabina, olaparibe se BRCA)"
pos_neoadj_her2_pcr,Pós‑neoadjuvância,HER2+,"HER2+ com pCR","Adjuvância, HER2+, Pós‑neoadj RPC (trastuzumabe ± pertuzumabe)"
pos_neoadj_her2_residual,Pós‑neoadjuvância,HER2+,"HER2+ com doença residual","Adjuvância, HER2+, Pós‑neoadj Doença Residual (T-DM1)"
pos_neoadj_rhpos_pcr,Pós‑neoadjuvância,RH+/HER2-,"RH+/HER2- com resposta patológica completa (raro, mas excelente prognóstico)","Adjuvância, RH+/HER2-, Pós‑neoadj (baixo risco, sem iCDK4/6)"
pos_neoadj_rhpos_residual,Pós‑neoadjuvância,RH+/HER2-,"RH+/HER2- com doença residual","Adjuvância, RH+/HER2-, Pós‑neoadj (avaliar critérios MONARCH E/NATALEE)"
adj_residual_tnbc_brca,Adjuvância residual,TNBC,"TNBC com doença residual e mutação BRCA1/2","Adjuvância, PARP, Mutações BRCA + alto risco (Olaparibe)"
adj_residual_tnbc_wt,Adjuvância residual,TNBC,"TNBC com doença residual sem mutação BRCA","Adjuvância, TNBC, Pós‑neoad (capecitabina)"
adj_upfront_tnbc,Pós‑cirurgia upfront,TNBC,"TNBC operada inicialmente, sem neoadjuvância","Adjuvância, TNBC, Cirurgia upfront"
adj_upfront_her2,Pós‑cirurgia upfront,HER2+,"HER2+ operada inicialmente","Adjuvância, HER2+, Cirurgia upfront"
adj_upfront_rhpos,Pós‑cirurgia upfront,RH+/HER2-,"RH+/HER2- operada inicialmente","Adjuvância, RH+/HER2- (avaliar indicação de QT, painéis genômicos, HT)"
seguimento_curto_prazo,Seguimento,Geral,"Paciente em remissão, seguimento nos primeiros 5 anos após tratamento curativo","Seguimento (consultas, mamografia, estilo de vida)"
seguimento_longo_prazo,Seguimento,Geral,"Paciente em remissão, seguimento após 5 anos do tratamento curativo","Seguimento (consultas, mamografia, estilo de vida)"
recidiva_locorregional,Recidiva locorregional,Geral,"Recidiva isolada em mama ou linfonodos, sem metástase à distância","Diagnóstico/Estadiamento para estadiamento local; considerar resgate cirúrgico/RT"
meta_1l_rhpos,Metastático 1ª linha,RH+/HER2-,"Doença metastática RH+/HER2-, virgem de tratamento paliativo","Metastático, RH+/HER2-, 1ª linha (IA+CDK4/6, ou conforme mutação)"
meta_1l_her2,Metastático 1ª linha,HER2+,"Metastático HER2+, sem tratamento paliativo prévio","Metastático, HER2+, 1ª linha (HP+taxano)"
meta_1l_tnbc,Metastático 1ª linha,TNBC,"Metastático TNBC, primeira linha paliativa","Metastático, TNBC, 1ª linha (imuno se CPS≥10, PARP se BRCA, QT)"
meta_progressao_rhpos,Metastático progressão,RH+/HER2-,"Progressão após 1ª linha paliativa para RH+/HER2-","Metastático, RH+/HER2-, 2ª linha (capivasertibe, everolimo, etc.)"
meta_progressao_her2,Metastático progressão,HER2+,"Progressão após 1ª linha HER2+","Metastático, HER2+, 2ª linha (T-DXd)"
meta_progressao_tnbc,Metastático progressão,TNBC,"Progressão após 1ª linha TNBC","Metastático, TNBC, 2ª linha (sacituzumabe, T-DXd se HER2-low)"
meta_linhas_tardias,Metastático tardio,Qualquer,"Paciente já recebeu ≥2 linhas, opções limitadas","Metastático, linhas subsequentes (quimioterapia, tucatinibe, etc.)"
obito,Terminal,Qualquer,"Óbito (por progressão de doença ou outras causas)",(não se aplica)
perda_seguimento,Terminal,Qualquer,"Abandono do seguimento ou tratamento",(não se aplica)
