id,fase_clinica,cenario_populacao,recomendacao,detalhes_tratamento,nivel_evidencia,forca_recomendacao,estudo_base,observacoes,fonte,tipos_compativeis,id_estados
1,Diagnóstico/Estadiamento,Antes da cirurgia e da definição de tratamento (neo)adjuvante sistêmico,Solicitar avaliação mínima de sangue,"Hemograma, função hepática/renal, FALC, cálcio",Muito baixo,Forte,,Integra o estadiamento mínimo em estádio inicial sem sinais/sintomas suspeitos de metástase.,Estadiamento,[1],diag_estadiamento
2,Diagnóstico/Estadiamento,Discordância entre core e peça cirúrgica,Revisar em laboratório de referência.,"Persistindo discrepância, considerar resultado positivo para fins de tratamento",Não se aplica,Não se aplica,,"Persistindo discrepância entre core e peça cirúrgica, considerar resultados POSITIVOS para fins de tratamento.
IHQ interpretada segundo recomendações internacionais.",Estadiamento,"[1,11]",diag_estadiamento
3,Diagnóstico/Estadiamento,Tumores lobulares e de baixo grau,Considerar limitações do PET/CT-FDG,Menor sensibilidade em tumores lobulares/de baixo grau + limitações de custo e acessibilidade,Não se aplica,Não se aplica,,,Estadiamento,"[1,11]",diag_estadiamento
4,Diagnóstico/Estadiamento,Envolvimento linfonodal sem tumor primário detectado (T0N1) ou com CDIS como único sítio (TisN1),Usar grau e marcadores do linfonodo para estadiamento prognóstico,"Grau + IHQ (RE, RP, HER2) do tumor no linfonodo",Não se aplica,Não se aplica,"AJCC Cancer Staging Manual, 8ª ed.",Base para o estadiamento clínico-prognóstico.,Estadiamento,"[1,11]",diag_estadiamento
5,Adjuvância,Seguimento,Realizar história e exame físico periódicos,"A cada 3-6 meses nos primeiros 3 anos, depois a cada 6-12 meses nos 2 anos subsequentes e anualmente após.",Não classificado,Não classificado,,,Adjuvante,"[1,13]","seguimento_curto_prazo,seguimento_longo_prazo"
6,Adjuvância,Seguimento — Cirurgia conservadora,Realizar mamografia anual,"Primeira 6 meses após RT, subsequentemente a cada 12 meses.",Não classificado,Não classificado,,Conduta individualizada,Adjuvante,"[1,13]",seguimento_curto_prazo
7,Adjuvância,Seguimento — Usuárias de TMX,Realizar avaliação ginecológica anual,investigar sangramento vaginal,Não classificado,Não classificado,,,Adjuvante,"[1,13]","seguimento_curto_prazo,seguimento_longo_prazo"
8,Rastreamento,Todas as pacientes,Informar que a Lei nº 11.664/2008 garante o direito à mamografia a partir dos 40 anos no SUS,,Não se aplica,Não se aplica,,,Estadiamento,"[1,14]",
9,Diagnóstico/Estadiamento,Todos os casos ao diagnóstico (estadiamento locorregional),Indicar mamografia bilateral e ultrassom de mamas e axilas,Mamografia bilateral + US de mamas e axilas,Alto,Forte,,,Estadiamento,"[1,14]",diag_estadiamento
10,Diagnóstico/Estadiamento,Todas as amostras de biópsia,Encaminhar para exame anatomopatológico,Patologista especializado e experiente em patologia mamária,Moderado,Forte,,"Laboratórios inexperientes podem gerar falsos positivos/negativos nos receptores, comprometendo decisão terapêutica.",Estadiamento,"[1,14]",diag_estadiamento
11,Diagnóstico/Estadiamento,Tumores pequenos diagnosticados por biópsia,"Correlacionar T (tamanho) com exames de imagem, clínica e achados microscópicos",Correlação clínico-imagem-patológica,Não se aplica,Não se aplica,,Medida do tumor residual na peça cirúrgica pode subestimar o tamanho da lesão.,Estadiamento,"[1,14]",diag_estadiamento
12,Diagnóstico/Estadiamento,Todos os casos,"Seguir a 8ª edição do AJCC Cancer Staging Manual (anatômico, clínico-prognóstico e patológico-prognóstico)",AJCC 8ª edição,Não se aplica,Não se aplica,"AJCC Cancer Staging Manual, 8ª ed.",Inclui estadiamento anatômico e prognóstico clínico/patológico.,Estadiamento,"[1,14]",diag_estadiamento
13,Diagnóstico/Estadiamento,Candidatas/submetidas a tratamento neoadjuvante,Realizar colocação de clip (marcador) na lesão inicial,Colocação de clip para orientar ressecção e avaliação histológica,Moderado,Forte,,"Condicional na diretriz ('deve-se considerar colocar um marcador').
NE: ESMO MUITO BAIXO/FORTE; NCCN MODERADO/FORTE.",Estadiamento,"[1,14]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos"
14,Diagnóstico/Estadiamento,Serviços de oncologia,Organizar fluxos institucionais para reduzir atrasos (da suspeita ao tratamento) e monitorar como indicador de qualidade,"Monitorar datas: exame índice/suspeita, biópsia, laudo AP, biomarcadores, primeira avaliação especializada, estadiamento completo e início do tratamento",Não se aplica,Não se aplica,,"Estratégias: navegação oncológica, comunicação ativa de resultados críticos e pactuação multidisciplinar de fluxos.",Estadiamento,"[1,14]",diag_estadiamento
15,Diagnóstico/Estadiamento,Onde biomarcadores estiverem indisponíveis,Utilizar estadiamento anatômico,AJCC anatômico,Não se aplica,Não se aplica,,"Estadiamento prognóstico pressupõe tratamento adequado com HT e/ou QT, incluindo anti-HER2.",Estadiamento,"[1,14]",diag_estadiamento
