id,name,description
1,Manejo de eventos adversos (toxicidades),"Perguntas sobre manejo detalhado de efeitos colaterais específicos (ex: diarreia grau 3, neutropenia febril, estomatite, hiperglicemia) que não são abordados pelas diretrizes, incluindo escalas, algoritmos de tratamento e ajustes de dose."
2,Ajustes de dose para populações especiais,"Perguntas sobre ajustes de quimioterapia e terapias-alvo em pacientes com insuficiência renal ou hepática, idosos frágeis, performance status baixo ou desnutrição – informações ausentes nos documentos."
3,Condutas em emergências oncológicas,"Perguntas sobre síndrome da lise tumoral, compressão medular, neutropenia febril, hipercalcemia maligna e extravasamento de quimioterápicos – situações não contempladas nas diretrizes de tratamento eletivo."
4,Interações medicamentosas relevantes,"Perguntas sobre interações entre drogas oncológicas (iCDK4/6, anti-HER2, hormonioterápicos) e medicamentos de uso comum (antidepressivos, antifúngicos, anticoagulantes, anticonvulsivantes) – não há tabelas ou orientações nos documentos."
5,Procedimentos operacionais do Registro de Câncer de Base Populacional (RCBP),"Perguntas sobre situações-limite de codificação topográfica/morfológica, uso do sistema SisBasepop (BPW), integração com prontuário eletrônico e critérios específicos de exclusão de casos – não detalhadas no manual do INCA."
6,Técnicas avançadas de imagem para rastreamento e diagnóstico,"Perguntas sobre tomossíntese, elastografia, ultrassom 3D, ressonância mamária funcional e biópsia líquida para rastreamento – não abordadas nas diretrizes de rastreamento e estadiamento."
7,"Biópsia líquida (ctDNA) para diagnóstico, prognóstico e monitoramento","Perguntas sobre uso de DNA tumoral circulante para detecção precoce de recidiva, mutações de resistência (ex: ESR1), ou monitoramento terapêutico – apenas mencionada superficialmente, sem recomendações práticas."
8,"Terapias de suporte, cuidados paliativos e controle de sintomas","Perguntas sobre manejo de dor oncológica (opioides), náuseas refratárias, fadiga, caquexia, dispneia terminal e cuidados de fim de vida – ausentes nos documentos."
9,Tratamento de sequelas e reabilitação,"Perguntas sobre prevenção e manejo de linfedema, neuropatia periférica induzida por quimioterapia, toxicidade cognitiva e reabilitação funcional pós-tratamento."
10,"Fertilidade, gestação e contracepção durante tratamento oncológico","Perguntas sobre técnicas de preservação de fertilidade (criopreservação), momento seguro para gestação após tratamento, e métodos contraceptivos recomendados – parcialmente citadas mas sem detalhes."
11,Aconselhamento genético e interpretação de variantes de significado incerto (VUS),"Perguntas sobre como lidar com resultados de VUS em BRCA1/2, PALB2, CHEK2, e conduta em familiares – não há orientações sobre interpretação e seguimento."
12,Prevenção de recorrência e intervenções em estilo de vida,"Perguntas sobre suplementação (vitamina D, cálcio), dietas específicas (cetogênica, baixa gordura), exercícios físicos pós-tratamento e controle de peso – recomendações genéricas insuficientes."
13,Seguimento de longo prazo e detecção de recidiva,"Perguntas sobre periodicidade e tipo de exames de imagem (PET/CT, RM) no seguimento, uso de marcadores tumorais (CA 15-3, CEA) e critérios para investigação de recidiva."
14,Vacinação durante o tratamento oncológico,"Perguntas sobre segurança e eficácia de vacinas (influenza, COVID-19, HPV, pneumocócica) durante quimioterapia, imunoterapia ou terapias-alvo – nenhuma recomendação nos documentos."
15,"Radioterapia: indicações, esquemas de fracionamento e efeitos tardios","Perguntas sobre doses específicas, técnicas (IMRT, SBRT), planejamento conformacional e manejo de toxicidades tardias (pneumonite, cardiotoxicidade) – diretrizes não detalham."
16,Cirurgia oncológica e reconstrução mamária,"Perguntas sobre tipos de mastectomia, oncoplastia, momento da reconstrução (imediata vs tardia), linfadenectomia axilar e complicações cirúrgicas – apenas tópicos gerais."
17,Patologia e interpretação de biomarcadores discordantes ou novos,"Perguntas sobre discordância de receptores hormonais entre biópsia e peça cirúrgica, HER2 ultra-low, PD-L1 em TNBC adjuvante, e validade de biomarcadores emergentes (Trop-2)."
18,Terapias‑alvo emergentes e drogas sem aprovação no Brasil,"Perguntas sobre eficácia, segurança e acesso a medicamentos como trastuzumabe-deruxtecan (T-DXd), tucatinibe, inavolisibe, e status regulatório na Anvisa/CONITEC – mencionados apenas como não aprovados."
19,"Aspectos legais, éticos e diretivas antecipadas de vontade","Perguntas sobre consentimento informado para tratamentos de alto custo, recusa terapêutica, acesso a testes genéticos por familiares e diretivas antecipadas de vontade."
20,Manejo de comorbidades durante o tratamento oncológico,"Perguntas sobre ajustes de antidiabéticos (metformina) durante uso de alpelisibe, manejo de insuficiência cardíaca com anti-HER2, e hipertensão com inibidores de aromatase."
21,"Custos, acesso e incorporação de tecnologias no SUS (Anvisa, CONITEC)","Perguntas sobre preços, disponibilidade no SUS, critérios dos PCDT, prazos de incorporação e vias judiciais para medicamentos não padronizados."
22,Ensaios clínicos em andamento no Brasil e acesso a terapias experimentais,"Perguntas sobre estudos abertos para recrutamento, centros de referência, critérios de elegibilidade e como obter medicamentos experimentais."
23,"Psicologia, retorno ao trabalho e qualidade de vida","Perguntas sobre ferramentas de rastreamento de sofrimento emocional, adaptações laborais, sexualidade e disfunção cognitiva – nenhuma orientação."
24,"Prevenção primária (quimioprevenção, mastectomia profilática, ooforectomia)","Perguntas sobre tamoxifeno ou raloxifeno para redução de risco em mulheres de alto risco, e indicações de cirurgias profiláticas em portadoras de mutações BRCA."
25,"Tratamentos não farmacológicos e integrativos (acupuntura, fitoterapia, mindfulness)","Perguntas sobre eficácia de acupuntura para ondas de calor, interações de fitoterápicos (curcumina, chá verde) com quimioterapia, e práticas de mindfulness durante tratamento ativo."
